,user,Date,text,likes
14527,@KhandelwalSajal,"Feb 5, 2024 · 10:02 AM UTC",#UCOBANK  20% UC🔥🔥 Total 30% Up in 3 sessions  No long case study only strong patterns needed.  Join telegram - for such updates  #nifty50 #StocksToBuy #StocksInNews #StockMarketindia #StockToWatch #IPOAlert #TataMotors #Stockmarketnews #SwingTrading #nseindia #Paytm,1
14528,@ETNowSwadesh,"Feb 5, 2024 · 10:02 AM UTC","क्या आने वाले दिनों में और गहराएगा Paytm संकट, और क्या कदम उठा सकती है RBI? जानिए ET Now & ET Now स्वदेश के एडिटर-इन-चीफ, निकुंज डालमिया की राय  #PaytmCrisis #Paytm #PaytmPaymentsBank #RBI #StockMarket @nikunjdalmia @manishmrinu",7
14529,@EconomicTimes,"Feb 5, 2024 · 10:02 AM UTC",Ambanis eyeing #Paytm wallet? Jio Financial shares jump 13% on report saying so #PaytmPaymentsBank https://economictimes.indiatimes.com/markets/stocks/news/ambanis-eyeing-paytm-wallet-jio-financial-shares-jump-4-on-report-saying-so/articleshow/107417584.cms,40
14530,@iamitsrivastav,"Feb 5, 2024 · 10:01 AM UTC",Today was third day where I was unable to exit from #Paytm . Kisi ka paytm lene ka man ho mujhse le le jo man ho wo de dena paise iske badle. 😀 #Nifty #banknifty #sensex #finnifty #midcap #bankex,1
14531,@explorefresh24,"Feb 5, 2024 · 10:01 AM UTC",#Paytm town hall: No job cuts and other key things that CEO Vijay Shekhar Sharma told employees   #PaytmPaymentsBank,0
14532,@1oakfinserv,"Feb 5, 2024 · 10:00 AM UTC","Updating the math for today's 10% fall.   10% fall on Rs. 64 (6.4) Stock price - Rs. 57.6   So, stock has fallen 42.4% in 3 days  #Paytm",0
14533,@IamRealChampion,"Feb 5, 2024 · 10:00 AM UTC",#AmazonIndia #Flipkart #Paytm #Myntra telegram.me/RealShoppingDeal…   80% Off - V-MOP Premium Classic Blue bucket Mop Set At Rs.599  -  https://fkrt.cc/E2rxMvY5,0
14534,@MeSubramanian,"Feb 5, 2024 · 10:00 AM UTC",#PayTM போய் #JIOFIN வந்தது டும்.. டும்.. டும்....,0
14535,@ZoopUpOfficial,"Feb 5, 2024 · 10:00 AM UTC",Paytm Karo Meanwhile RBI- Paytm MAT karo  #paytm #PaytmBank #paytmmoney #paytmwallet #zoopup,0
14536,@assetyogi,"Feb 5, 2024 · 10:00 AM UTC","Paytm issues bring up talks of limiting UPI app market share to 30%!📉💬  Regulatory actions against Paytm Payments Bank revive the debate, potentially benefiting top players PhonePe & Google Pay📉💳  #PaytmPaymentsBank #Paytm #PhonePe",6
14537,@ARFAKHANUMS,"Feb 5, 2024 · 9:59 AM UTC",Harsh Mander during CAA protests  #ShankarMahadevan #GodhraFilm #JusticeForRoshanPandey #ReleaseSalmanAzhari #IStandWithMuftiSalmanAzhari #StockMarketindia #ನನ್ನತೆರಿಗೆನನ್ನಹಕ್ಕು #StopHindiImposition #SouthTaxMovement #ENGvsIND #CET_एक_अभिशाप_है #RaajadhaniFilesTrailer #Paytm,0
14538,@SpearmanFinance,"Feb 5, 2024 · 9:59 AM UTC",Market rumours at its peak. Someone linked Jio Payments with Paytm wallet business and #JioFinancials is up by 15%. I personally don't think it is up for deal. Potential trap. #Paytm,0
14539,@ETMarkets,"Feb 5, 2024 · 9:59 AM UTC","While #Paytm shares fell another 10% on Monday to record a Rs 20,000-crore loss in 3 days, rivals Jio Financial and Fino Payments Bank rallied up to 20%.  @nikkhill https://economictimes.indiatimes.com/markets/stocks/news/paytm-crisis-makes-investors-hunt-for-other-fertile-fintechs-top-2-stocks-on-radar/articleshow/107424239.cms",0
14540,@biplav_mehta,"Feb 5, 2024 · 9:58 AM UTC","Perfect example of why you shouldn’t follow anyone blindly. Always have your own conviction backed by your set of frameworks.  Sadly, it’s your capital & you are exposed to overall risk.   Following others idea is easy, working hard is difficult, work hard!! #Paytm #Jiofinancial",2
14541,@thenewsfifteen,"Feb 5, 2024 · 9:57 AM UTC","कांग्रेस प्रवक्ता सुप्रिया श्रीनेत ने कहा,""पेटीएम पर मनी लॉन्ड्रिंग जैसे गंभीर आरोप लगे हैं"". @SupriyaShrinate #Paytm #RBI #congress",0
14542,@TV9DelhiNCR,"Feb 5, 2024 · 9:57 AM UTC","नहीं होगी पेटीएम में छंटनी, टाउन हॉल में विजय शेखर ने की दिल की बात...  पूरी खबर 👇 https://www.tv9hindi.com/business/there-will-be-no-job-cut-in-paytm-vijay-shekhar-spoke-in-virtual-town-hall-2406593.html #PaytmPaymentsBank | #Paytm | #vijayshekar | #RBI",0
14543,@BigBreakingWire,"Feb 5, 2024 · 9:57 AM UTC","🚨 Paytm is restricted from selling its wallet business, as per an NDTV Profit source.  RBI restrictions prevent the transfer of Paytm Payments Bank's business.  One97 Communications forfeited its PPI license upon obtaining the payments bank license.  #Paytm",13
14544,@ETBFSI,"Feb 5, 2024 · 9:57 AM UTC",Paytm Update: A day-by-day account of India's leading FinTech’s struggle   #paytm #paytmpaymentbank #fintech #reservebankofindia #regulatorycompliance https://bfsi.economictimes.indiatimes.com/news/fintech/paytm-update-day-to-day-coverage-of-all-that-is-happening/107386071?utm_source=copy&utm_medium=pshare,0
14545,@adwaitainapure,"Feb 5, 2024 · 9:56 AM UTC",ही बातमी वाचून काही वर्षांपूर्वी नेस्ले कंपनीच्या मॅगी नूडल्सवर बंदी आली होती आणि काही काळातच पतंजलीची नूडल्स बाजारात सादर झाली होती त्याची आठवण आली.  #nestle #maggi #patanjali #Paytm #jiofinancial,0
14546,@atulmodani,"Feb 5, 2024 · 9:56 AM UTC",#PAYTM,0
14547,@usudheer96,"Feb 5, 2024 · 9:55 AM UTC","Waiting for the price of One97 communications limited to come to 197.  No offence to anyone, just for fun  #paytm #stockmarketcrash #StocksInFocus",0
14548,@NDTVProfitIndia,"Feb 5, 2024 · 9:55 AM UTC","#Paytm cannot sell its wallet business: Source to NDTV Profit  For the latest news and updates, visit ndtvprofit.com",576
14549,@MoneycontrolH,"Feb 5, 2024 · 9:55 AM UTC","#Paytm: रेवेन्यू सेक्रेटरी संजय मल्होत्रा ने Paytm के खिलाफ ईडी की कार्रवाई को लेकर गलतफहमी को दूर किया है और स्थिति को साफ किया है। उनकी ओर से ताजा बयान क्या है, जानिए इस रिपोर्ट में... @paytm https://hindi.moneycontrol.com/news/business/law-enforcement-agencies-will-probe-paytm-if-needed-but-at-the-moment-there-is-no-such-action-afoot-revenue-secretary-sanjay-malhotra-1761691.html #ED #vijayshekharsharma #latestnews #fintech #moneycontrol",0
14550,@PanchayatTimes,"Feb 5, 2024 · 9:54 AM UTC",#WATCH : कांग्रेस प्रवक्ता @SupriyaShrinate की पेटीएम कंपनी को लेकर प्रेस वार्ता. https://tube.mint.lgbt/live/3dD61JxMXHc #PaytmPaymentsBank #Paytm #India #Congress #SupriyaShrinate #PayTMCrisis #PaytmBank #PAYTMMoney #Congress #JioFinancialServices #JFS #Jio #Demonetisation #VijayShekharSharma,0
14551,@Silentlearner_,"Feb 5, 2024 · 9:54 AM UTC",#Reliance #Paytm #Jiofinancial,2
14552,@indian_stockss,"Feb 5, 2024 · 9:54 AM UTC",#Paytm down 50% in just 3 days 😯  20% + 20% +10 % LC back to back...  @CNBCTV18Live,243
14553,@SahilJeevt85413,"Feb 5, 2024 · 9:54 AM UTC",Paytm -438.50 🔻 #paytm #sharemarket,1
14554,@praveenpra999,"Feb 5, 2024 · 9:53 AM UTC","It’s been 5days since I initiated closure of my fast tag, but there has been no update yet on when I will get my refund and it will be closed..u guys are not responding on my DM’s @Paytm @Paytmcare @PaytmBank #paytm #fasttag #paytmfasttag",0
14555,@ETNowSwadesh,"Feb 5, 2024 · 9:52 AM UTC","इस बड़े संकट के बाद Paytm के मौजूदा ग्राहक क्या करें? Paytm Wallet के पैसे का क्या होगा?  ET Now & ET Now स्वदेश के एडिटर-इन-चीफ, निकुंज डालमिया से समझें  #PaytmCrisis #Paytm #PaytmPaymentsBank #RBI #StockMarket @nikunjdalmia @manishmrinu",6
14556,@Utkarsh_777,"Feb 5, 2024 · 9:52 AM UTC",was thinking of catching another falling knife and this is the level of warning I got  #Paytm,5
14557,@ramanswall,"Feb 5, 2024 · 9:51 AM UTC",#PaytmPaymentsBank  वाह मोदी जी वाह #PAYTM को समर्पित सरकार ने बंद कर दिया!  क्यों? हेराफेरी और घपले   https://tube.mint.lgbt/xHyeyYhWVLg?si=512HZiGbel4S0Drn,9
14558,@GoodreturnsTa,"Feb 5, 2024 · 9:51 AM UTC",PayTM முதலீட்டாளர்கள் ரத்த கண்ணீர்.. 3 நாளில் 43% சரிவு..!!   https://tamil.goodreturns.in/news/paytm-shares-plunged-43-percent-in-3-days-today-locked-to-lower-circuit-limits-041175.html #PaytmPaymentsBank #PayTM #Shares,0
14559,@Boganto2016,"Feb 5, 2024 · 9:51 AM UTC",Make Monday your favorite day with 'Love Your Life' . Visit boganto.com . #Bazball #TaylorSwift #TataMotors #MondayMotivation #GRAMMYs #INDvsENGTest #CristianoRonaldo #CR7𓃵 #VengeanceDay #INDvENG #ShambhuFtAkshayKumar #WinAGreenHome #BabyJohn #Paytm #Elections2024,1
14560,@__RizwanAlam,"Feb 5, 2024 · 9:51 AM UTC",#PaytmPaymentsBank has Chinese share in the company   #PayTm,0
14561,@pujaedu,"Feb 5, 2024 · 9:50 AM UTC",शिक़ायत नहीं करता है🙂 . #motivationmonday #motivationquotes #motivationdaily #motivationthought #pujaeducationalandwelfareturst #Paytm #Manishsisodia,0
14562,@shahmanali22,"Feb 5, 2024 · 9:50 AM UTC",Is mota bhai on shopping 🛍️ spree? Jio financial surges 13% on reports of possible acquisition of Paytm wallet business.. #jio #Paytm,0
14563,@PanchayatTimes,"Feb 5, 2024 · 9:50 AM UTC",#WATCH : कांग्रेस प्रवक्ता @SupriyaShrinate की पेटीएम कंपनी को लेकर प्रेस वार्ता.  https://nitter.mint.lgbt/i/broadcasts/1lDGLPewnLaGm #PaytmPaymentsBank #Paytm #India #Congress #SupriyaShrinate #PayTMCrisis #PaytmBank #PAYTMMoney #Congress #JioFinancialServices #JFS #Jio #Demonetisation #VijayShekharSharma,0
14564,@PanchayatTimes,"Feb 5, 2024 · 9:49 AM UTC",#WATCH : #Congress briefing by #SupriyaShrinate on #PayTm crisis. #PayTmCrisis #Finance #Financial https://nitter.mint.lgbt/i/broadcasts/1lDGLPewnLaGm,0
14565,@AmitSuryakant,"Feb 5, 2024 · 9:49 AM UTC",Morgan Stanley 3.29pm aaj aayega kya🤣🤣🤣 #paytm,6
14566,@nagaranjanHR,"Feb 5, 2024 · 9:48 AM UTC",One man's loss is another Man's profit... Think differently.. #jiofin #Paytm #JioCinema #jio #StockMarket #Nifty #NiftyBank #INDvENG #JaspritBumrah #INDvsENG,0
14567,@GaganAroraa,"Feb 5, 2024 · 9:47 AM UTC",@AnilSinghvi_ #anilsinghvi  श्रीमान जी एक सवाल का जवाब चाहिए था। जैसा कि आपने बोलै #paytm का शेयर खरीदना नहीं तो वहाँ buyer नहीं हैं। Seller बहुत हैं। इस कंडीशन में सारे sale आर्डर कैंसिल हो जाते हैं या कंपनी उसका पैसा देती है?  मतलब ये तो शेयर होल्डर का सीधा नुकसान हुआ???,0
14568,@TheRichBoy11,"Feb 5, 2024 · 9:46 AM UTC","आराम से एक नसल पैदा हुई - ""ह... रा... म""   मनहूस मुग़ल हुआ... उसका ""नाम""👇                        ___ रिज़वान अहमद  अकबरी औलादों के ""सुकून"" के लिए 🙈  #RaajadhaniFilesTrailer 1 Cr उत्तर प्रदेश सरकार #Paytm #JusticeForRoshanPandey  योगी सरकार 💪 #ArvindKejriwal 👊 #Manishsisodia",3
14569,@ETNowSwadesh,"Feb 5, 2024 · 9:45 AM UTC","#PaytmCrisis | Paytm निवेशक ध्यान दें!  ET Now & ET Now स्वदेश के एडिटर-इन-चीफ, निकुंज डालमिया की निवशकों को सलाह, नई खरीदारी बिल्कुल न करें...गिरावट के बाद एवरेज भी न करें  #Paytm #PaytmPaymentsBank #RBI #StockMarket @nikunjdalmia @manishmrinu",17
14570,@Srikant49689884,"Feb 5, 2024 · 9:45 AM UTC",Breakout Soon Stock #SONATSOFTW #StockMarket #Investing #Finance #Trading #Stocks #WallStreet #StockMarketNews #FinancialFreedom #DayTrading #MarketWatch #BREAKOUTSTOCKS #multibaggerstocks #Optionselling #StockToWatch #zerodha #Pennystocks #Pennystocks #zerodha #Paytm #Suzlon,1
14571,@theashisharya,"Feb 5, 2024 · 9:45 AM UTC","#Paytm down #Jiofinancial up today, think about it !! #StockMarketindia",0
14572,@ArshadK22869665,"Feb 5, 2024 · 9:44 AM UTC",#Paytm https://tube.mint.lgbt/IkLZwhTksQQ?si=8TzPSfviKSb7J58N,0
14573,@winningstocks1,"Feb 5, 2024 · 9:44 AM UTC",#BajajFinance  Still weak as expected... Next Halt (even after any bounce) can be 6200.  #jio finance #Paytm,2
14574,@kumaralok554,"Feb 5, 2024 · 9:43 AM UTC",RIP #PAYTM SHARE HOLDERS .,0
14575,@businessprime24,"Feb 5, 2024 · 9:43 AM UTC","একটি প্যান, হাজার অ্যাকাউন্ট- পেটিএমে দুর্নীতি? RBI Action Against Paytm | BPN   . . #businessprimenews #rbiaction #paytmbank #bengalibusinessnews #paytm #rbi #paytmbank #businessnews #businessnewstoday #shortsvideo",0
14576,@leena_gaut57982,"Feb 5, 2024 · 9:41 AM UTC",#Paytm #PaytmPaymentsBank #JioFin #PaytmWallet #JIOFIN #JioFinancials #MukeshAmbani #shares #NSE #BSE #JFSShares,1
14577,@simplybiztalk,"Feb 5, 2024 · 9:40 AM UTC","क्या #JioFinance, #Paytm wallet business को खरीदेगा ? #JioFinance #jiofinancial #RelianceIndustries #PaytmKaro #PayTMCrisis #paytmshare #breakingnews #breakingnews🚨 #paytmmoney #paytmmoney #simplybiztalk #jiofinancialservices #FASTag https://www.instagram.com/reel/C29fYmvSc7q/?igsh=MTYyeXMwbGFnN2Q0Zw==",0
14578,@ETNowSwadesh,"Feb 5, 2024 · 9:39 AM UTC","#PaytmCrisis | Paytm पर आपके मन की बात, निकुंज के साथ !  ET Now & ET Now स्वदेश के एडिटर-इन-चीफ, निकुंज डालमिया से आसान भाषा में समझिए आखिर कितना बड़ा है Paytm का संकट, इसका क्या होगा असर?   #Paytm #PaytmPaymentsBank #RBI #StockMarket @nikunjdalmia @manishmrinu",4
14579,@devinamehra,"Feb 5, 2024 · 9:39 AM UTC","A tale of two stocks, their movements and the possible link between the two?  #Paytm #jiofinancial",282
14580,@TrendTrader85,"Feb 5, 2024 · 9:39 AM UTC",टेक्निकल सिखने के बाद ये बात अच्छी है की मेरे किसी ग्रुप मेंबर्स ने #HDFCBANK और #PAYTM कब लेना चाहिए ऐसा नहीं पूछा  क्यूंकि वो जानते है पैसा कही से भी कमाया जा सकता है HDFC नहीं तो #IOBसे भी ये अपने देख लिया   दूसरा वो जानते है ऐसा कुछ पूछ लिया तो जरूर कुछ सुनने को मिलेगा,43
14581,@ArshadK22869665,"Feb 5, 2024 · 9:39 AM UTC",#Paytm https://tube.mint.lgbt/Tdvp9snWm90?si=4m1TeAmXUJJLQD5O,0
14582,@comm_samachar,"Feb 5, 2024 · 9:38 AM UTC",Tag your friends who has Paytm Shares...  #StockAlert #economicupdate #sharemarket #paytm #PaytmStock #MarketUpdate #stockalert,2
14583,@exencial_RP,"Feb 5, 2024 · 9:38 AM UTC","Indian Industry Insights - February 5, 2024:  Thread🧵 . . . . . . . #GlobalCommodityPrices #VegetableOils #Marico #AlcoholicBeverages #TamilNaduLiquor #MarineFoods #LabGrownFish #TobaccoProducts #ITC #Paytm #TataMotors #AgriculturalProducts #SugarcaneFarmers #LTfoods #WholesaleTurPrices #DragonFruit #PaddySeeds #MSMEs #CottonExports #Arvind #InorganicChemicals #GreenHydrogen #Fertilisers #Pharmaceuticals #PlasticProducts #PetroleumExports #Lubricants #FMCG #GemsAndJewellery #SteelIndustry #RenewableElectricity",1
14584,@lokmattimeseng,"Feb 5, 2024 · 9:37 AM UTC","February 5 turned out to be a challenging day for the shares of #vijayshekharsharma 's company, #Paytm  (One97 Communications).  #StockMarketindia #sharemarket  Read More👇 https://www.lokmattimes.com/business/paytm-shares-touch-52-week-low-market-cap-falls-to-rs-2783875-crore-a510/",0
14585,@mohitjain1998,"Feb 5, 2024 · 9:36 AM UTC",What if RBI has banned Paytm services so that Mukesh Ambani can buy it at extremely low valuation and Paytm has no option  than surrender? What if everything is planned?🤪 #RBI #PaytmPaymentsBank #Paytm #jio #ambani,0
14586,@Banknifty24x7,"Feb 5, 2024 · 9:36 AM UTC","5th Feb 2024,. A good profit from morning votality  . . .  #banknifty #bankniftytrader_24x7 #bank #nifty #finnifty #FinancialGrowth #optionstrading #trading #paytm #stockmarket https://www.instagram.com/reel/C29f8nvL5TO/?igsh=MWo5YWNvcTlsd3psag==",0
14587,@sdgunge,"Feb 5, 2024 · 9:36 AM UTC",It has been observed in the past few days that the market tends to perform well during the first and last hours.  Momentum to first and last hour me hi aa raha hai 🤦  #StockMarketindia #SJVN #NMDC #Paytm #StocksToWatch,16
14588,@HATradeTalk1,"Feb 5, 2024 · 9:36 AM UTC",Nifty & other Indices showed correction🎉  Chart View was already shared👍  Connect Here: Wa.me/+919034046027 #Nifty #NitishKumar #TejRan #BiggBoss17Finale #RohitSharma #INDvENG #jaiswal #MunawarFaruqui #crudeoil #AyodhyaRamMandir #commodity #PayTm #Bumrah #Vizag #Bazball,0
14589,@DBhaskarHindi,"Feb 5, 2024 · 9:36 AM UTC",#muizzu का अभिभाषण: विपक्षी पार्टियों के बहिष्कार के बीच मुइज्जू ने अभिभाषण में भारत को लेकर कही ये बातें . . #Maldives #Maldivespresident #maldivians #maldivesminister #GyanvapiMandir #Ajithkumar #Paytm #MiraRoad #Prabhas #PoonamPandey #INDvENG @dbnagpur https://www.bhaskarhindi.com/international/amidst-the-boycott-by-opposition-parties-muizzu-said-these-things-about-india-in-his-address-997374,0
14590,@TheStatesmanLtd,"Feb 5, 2024 · 9:35 AM UTC","On RBI's restrictions on #PaytmPaymentsBank, Congress leader #SupriyaShrinate says, ""RBI has restricted Paytm payments bank & there will be no existence of it after 29 February…”  #Paytm #RBI #finance #Congress #BJP #TheStatesman",1
14591,@Dark_horse_05,"Feb 5, 2024 · 9:35 AM UTC",#Jasprit #Bumrah wraps things up in #Vizag as #TeamIndia win the #2ndTest and level the series  #INDvsENG #Ashwin #Jaiswal #JioCinema #Paytm #YogiAdityanath #Elections2024 #StockMarketindia #GodhraFilm #BabyJohn #Hartley #Bairstow #TataMotors #WTC25 #ShreyasIyer #Bazball #Rohit,2
14592,@AxeTraders,"Feb 5, 2024 · 9:34 AM UTC",#BEL rocked. jackpot profit 5.2 to 7.5 - Rs. 13100/-  dont miss out of such amazing profits t.me/AxetradingIN #nifty #nifty50 #niftybank #stockmarketindia #stockstowatch #sensex #paytm #jiofin,0
14593,@T_Investor_,"Feb 5, 2024 · 9:34 AM UTC",Now PayTm investors are screaming 😜  #PaytmPaymentsBank #PaytmKaro #Paytm,79
14594,@CNBC_Awaaz,"Feb 5, 2024 · 9:34 AM UTC",#ComingUP | पेटीएम पेमेंट बैंक पर एक्शन क्यों हुआ ? ▶️पेटीएम पर और सख्त हो सकता है RBI ? ▶️पेटीएम की किन सेवाओं पर पड़ेगा असर ? ▶️पेटीएम के ग्राहक को क्या करना चाहिए ? #ConsumerAdda @vipinbhatt #PayTM #RBI,5
14595,@hanchatemahesh,"Feb 5, 2024 · 9:32 AM UTC",This Moron was #SharkTankIndia mentor on @SonyTV ...Imagine his skills of evaluating a Business...#Paytm #PaytmPaymentsBank,0
14596,@stocksbeast,"Feb 5, 2024 · 9:32 AM UTC",Kansai Nerolac Paints Ltd #KANSAINER Posted good results  #StockMarket #INVESTING #STOCK #StockToWatch #MondayMotivation #ShambhuByAkshayKumar #PawanKalyan #GodhraFilm #Trisha #RaajadhaniFilesTrailer #INDvENG #Paytm #TataMotors #WeWantRocky,0
14597,@editorji,"Feb 5, 2024 · 9:32 AM UTC",Paytm's senior leadership met employees in a virtual town hall to reassure and address their concerns about the future of the company.  #Paytm #PaytmPaymentsBank,0
14598,@Thekalal,"Feb 5, 2024 · 9:31 AM UTC",This is market sentiments and views keep changing   #PAYTM : few months back when Warren Buffet sold stake in 600 cr loss price was quoting @ 850 now 438   few made fun of his quote  “Only buy something that you'd be perfectly happy to hold if the market shut down for 10 years”,37
14599,@Palnadccw,"Feb 5, 2024 · 9:31 AM UTC","GD Goenka Brightens Palna with Gifts of Love Students and teachers from GD Goenka, East Delhi, brightened the day at Palna with their thoughtful visit. The group received an insightful tour from Ms. Kausar Parveen. #Paytm #Manishsisodia #WamiqaGabbi #JharkhandPolitics #Pakistani",1
14600,@DrGauravGarg4,"Feb 5, 2024 · 9:31 AM UTC",#Paytm share more than 42% down so far. Will you buy the dip?,183
14601,@DeeEternalOpt,"Feb 5, 2024 · 9:31 AM UTC",Okay this is the #paytm story as expected,84
